codul_sitului,denumirea,locatia_centrului_sitului,suprafata,numar_specii_pasi,alte_specii,habitate,regiunea_biogeografica
MD0000001,Prutul de Jos,28.0724/ 45.6176,1721.0,53,18,8,STE
MD0000002,Pădurea Domnească,"27.4181/ 47.5847",6113.0,"45","19","3",CON
MD0000003,Plaiul Fagului,"28.0726/  47.3009","5850.0","20","14","3",CON
MD0000003,Plaiul Fagului,28.0726/ 47.3009,"58.500",20,14,3,CON
MD0000004,Codru,28.3358/ 47.0831,"64.980",19,16,4,CON
MD0000005,Unguri- Holoșnița,28.0458/ 48.2864,"111.800",23,21,7,CON
MD0000006,Caracușeni,"26.8288/ 48.2873","69.920",7,14,3,CON
MD0000007,Codrii Orheiului,"28.735/ 47.3111","286.400",15,10,3,CON
MD0000008,Bahmut- Hârjauca,"28.1392/ 47.3256","132.600",19,6,3,CON
MD0000009,Codrii Tigheci,"28.3651/ 46.3376","64.660",15,4,2,STE
MD00000010,"Codrii Strășenilor","28.5458/ 47.0667","185.000",17,10,4,CON
MD00000011,Prutul de Mijloc,"27.3029/ 47.7406","326.300",31,24,3,CON
MD00000012,Lacurile Prutului de Jos,"28.0875/ 45.8644","164.200",44,14,9,STE
MD00000013,Nistrul de Jos,29.8258/ 46.5744," 59200",48,22,15,STE
MD00000014,Stâncile Nistrene,28.2497/ 48.1567,"44.580",15,17,3,CON
MD00000015,Rezina,28.9144/ 47.655,"38.980",12,17,1,CON
MD00000016,Stepa Bugeacului,28.615/ 46.1069,"49610",32,10,2,STE
MD00000017,Stepa Bălțului,28.4429/ 47.7755,"124.600",3,5,2,CON
MD00000018,Pădurea Hârbovăț,29.3775/ 46.8728,"38.210",9,9,4,STE
MD00000019,Pădurea Hâncești,28.4914/ 46.8421,"112.900",18,8,4,CON STE
MD00000020,Poiana Curătura,28.8673/ 47.8901,"6,950",7,7,2,CON
MD00000021,Climăuții de Jos,28.8055/ 47.9438,"14.820",6,7,1,CON
MD00000022,Cărbuna,28.8663/ 46.717,"6.780",3,4,2,CON
MD00000023,Lunca Baraboi,27.6539/ 48.091,"3.300",2,1, ,CON
MD00000024,Luncile Bursuceni,27.9753/ 47.5036,300,2,1,1,CON
MD00000025,Luncile Drăgănești,28.2714/ 28.2714,460,2,1,1,CON
MD00000026,Pădurea Molești-Răzeni,28.8158/ 46.7266,"3.860",3,3,2,CON
MD00000027,La castel,27.1512/ 48.1399,"7.600",11,9,5,CON
MD00000028,Vila „Nisporeni”,28.2397/ 47.0279,"54.510",15,5,2,CON
MD00000029,Zăbriceni,27.2343/ 48.0716,"5.950",7,3,2,CON
MD00000030,Fetești,27.1164/ 48.1801,"7.540",7,8,4,CON
MD00000031,La 33 de vaduri,27.5711/ 48.4327,"2.650",8,2,1,CON
MD00000032,Lunca mlăștinoasă Maramonovca- Cubolta,27.7958/ 48.1919,"2.120",6,2, ,CON
MD00000033,Lunca mlăștinoasă Maramonovca- Căinari,27.8514/ 48.2139,"1.080",5,2, ,CON
MD00000034,Aria naturală protejată Mestecăniș,27.3841/ 48.4089,500,7,2,4,CON
MD00000035,Aria naturală protejată Ocnița,27.3841/ 48.3837,"1.010",4,2,3,CON
MD00000036,Aria naturală protejată Telița,29.3377/ 46.995,"6.160",5,11,5,CON
MD00000037,Zberoaia-Prut,28.0922/ 46.9532,"3.810",2,1,2,CON
MD00000038,Ostianova,28.5156/ 46.4717,"2.780",9,1,4,STE
MD00000039,Măcărești-Prut,27.6536/ 47.0647,"1.880",3,5,3,CON
MD00000040,Aria naturală protejată Trebujeni,28.9412/ 47.3137,"10.640",9,12,3,STE
MD00000041,Aria naturală Seliște-Leu,28.0909/ 47.0985,"2.860",4,3,5,CON
MD00000042,Aria naturală Nemțeni,28.102/ 46.9151,"2.880",4,3,5,CON
MD00000043,Lunca Ialpug,28.5886/ 46.6224,620,3,3,7,STE
MD00000044,Lebăda Albă,28.2327/ 46.4847,"1.000",3,4,5,STE
MD00000045,Lunca Antonești,28.2059/ 46.3327,"1.770",7,2,8,STE
MD00000046,Canionul Vărăncău,28.4375/ 48.0438,"7.310",6,7,5,CON
MD00000047,Dancu-Prut,28.1858/ 46.745,"1.770",6,2,4,STE
MD00000048,Chizlear-Stepa,28.53/ 46.6474,"3.010",4,2,4,STE
MD00000049,Zolonceni,29.1162/ 47.2353,"2.250",9,2,4,STE
MD00000050,Dubăsarii Vechi,29.2561/ 47.1389,"11.140",10,13,7,STE
MD00000051,Aflorimentul Goian,28.8758/ 47.1364,"3.130",3,5,2,STE
MD00000052,Cimișeni,29.0651/ 47.0271,"6.610",5,2,2,STE
MD00000053,Sculeni-Prut,27.5889/ 47.3297,"1.530",5,4,5,CON
MD00000054,Chioselia,28.3771/ 46.1588,"5.520",8,3,3,STE
MD00000055,Limanul Cahul-Etulia,28.436/ 45.5257,"6.400",24,4,7,STE
MD00000056,Pohrebeni,28.8785/ 47.5737,"9.980",11,8,4,CON
MD00000057,Matrașanca- Orhei,28.9099/ 47.4804,"1.280",3,3,3,CON
MD00000058,Rădoaia,28.1199/ 47.7689,"14.300",16,6,5,CON
MD00000059,Sectorul de stepă Vrănești,28.0934/ 47.6084,"1.470",6,6,4,CON
MD00000060,Dobrușa,28.6488/ 47.8017,"30.320",18,7,6,CON
MD00000061,Vâșcăuți,29.0699/ 47.4146,"2.050",12,8,4,CON